Field Name,Description,Data Source,Geographic Coverage*
GEOID10,Census block group 12-digit FIPS code (2010),2010 Census TIGER/Line,"50 States, PR, OT"
GEOID20**,Census block group 12-digit FIPS code (2018),2019 Census TIGER/Line,"50 States, PR, OT"
STATEFP,State FIPS code,2019 Census TIGER/Line,"50 States, PR, OT"
COUNTYFP,County FIPS code,2019 Census TIGER/Line,"50 States, PR, OT"
TRACTCE,Census tract FIPS code in which CBG resides,2019 Census TIGER/Line,"50 States, PR, OT"
BLKGRPCE,Census block group FIPS code in which CBG resides,2019 Census TIGER/Line,"50 States, PR, OT"
CSA,Combined Statistical Area (CSA) Code,US Census,"50 States, PR, OT"
CSA_Name,Name of CSA in which CBG resides,US Census,"50 States, PR, OT"
CBSA,FIPS for Core-Based Statistical Area (CBSA) in which CBG resides,US Census,"50 States, PR, OT"
CBSA_Name,Name of CBSA in which CBG resides,US Census,"50 States, PR, OT"
CBSA_Pop,Total population in CBSA - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 US Census ACS (5-Year Estimate),"50 States, PR"
CBSA_Emp,Total employment in CBSA - (Dataset includes Blockwise mean and median localized to Census Tract) ,"2017 Census LEHD,","50 States, PR"
CBSA_Wrk,Total number of workers that live in CBSA - (Dataset includes Blockwise mean and median localized to Census Tract) ,"2017 Census LEHD,","50 States, PR"
Ac_Total,Total geometric area (acres) of the CBG - (Dataset includes Blockwise mean and median localized to Census Tract) ,2019 Census TIGER/Line,"50 States, PR, OT"
Ac_Water,Total water area (acres) - (Dataset includes Blockwise mean and median localized to Census Tract) ,"Census, 2018 HERE Maps NAVTREETS, HERE Maps
 Water & Oceans, 2018 USGS PAD-US, USGS National
 Hydrography Data Plus","50 States, PR, OT"
Ac_Land,Total land area (acres) - (Dataset includes Blockwise mean and median localized to Census Tract) ,"Census, 2018 HERE Maps NAVTREETS, HERE Maps
 Water & Oceans, 2018 USGS PAD-US, USGS National
 Hydrography Data Plus","50 States, PR, OT"
Ac_Unpr,"Total land area (acres) that is not protected from development (i.e., not a park, natural area or conservation area) - (Dataset includes Blockwise mean and median localized to Census Tract) ","Census, 2018 HERE Maps NAVTREETS, HERE Maps Parks, 2018 USGS PAD-US,
 USGS National Hydrography Data Plus","50 States, PR, OT"
TotPop,"Population, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ","2018 Census ACS (5-Year Estimate), 2010 Decennial
 Census (OT only)","50 States, PR, OT"
CountHU,"Housing units, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ","2018 Census ACS (5-Year Estimate), 2010 Decennial
 Census (OT only)","50 States, PR, OT"
HH,"Households (occupied housing units), 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ","2018 Census ACS (5-Year
 Estimate), 2010 Decennial Census (OT only)","50 States, PR, OT"
P_WrkAge,"Percent of population that is working aged 18 to 64 years, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 Census ACS (5-Year Estimate),"50 States, PR"
AutoOwn0,"Number of households in CBG that own zero automobiles, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 Census ACS (5-Year Estimate),"50 States, PR"
Pct_AO0,"Percent of zero-car households in CBG, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 Census ACS (5-Year Estimate),"50 States, PR"
AutoOwn1,"Number of households in CBG that own one automobile, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ","2018 Census ACS (5-Year
 Estimate)","50 States, PR"
Pct_AO1,"Percent of one-car households in CBG, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 Census ACS (5-Year Estimate),"50 States, PR"
AutoOwn2p,"Number of households in CBG that own two or more automobiles, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 Census ACS (5-Year Estimate),"50 States, PR"
Pct_AO2p,"Percent of two-plus-car households in CBG, 2018 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 Census ACS (5-Year Estimate),"50 States, PR"
Workers,"Count of workers in CBG (home location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD RAC,50 States
R_LowWageWk,"Count of workers earning $1250/month or less (home location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD RAC,50 States
R_MedWageWk,"Count of workers earning more than $1250/month but less than $3333/month (home location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD RAC,50 States
R_HiWageWk,"Count of workers earning $3333/month or more (home location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD RAC,50 States
R_PctLowWage,"Percent of low wage workers in a CBG (home location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD RAC,50 States
TotEmp,"Total employment, 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E5_Ret,"Retail jobs within a 5-tier employment classification scheme (LEHD: CNS07), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E5_Off,"Office jobs within a 5-tier employment classification scheme (LEHD: CNS09 + CNS10 + CNS11 + CNS13 +CNS20) , 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E5_Ind,"Industrial jobs within a 5-tier employment classification  scheme (LEHD: CNS01 + CNS02 + CNS03 + CNS04 + CNS05 + CNS06 + CNS08) , 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E5_Svc,"Service jobs within a 5-tier employment classification scheme (LEHD: CNS12 + CNS14 + CNS15 + CNS16 + CNS19),2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E5_Ent,"Entertainment jobs within a 5-tier employment classification scheme (LEHD: CNS17 + CNS18), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Ret,"Retail jobs within an 8-tier employment classification scheme (LEHD: CNS07), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Off,"Office jobs within an 8-tier employment classification scheme (LEHD: CNS09 + CNS10 + CNS11 + CNS13) , 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Ind,"Industrial jobs within an 8-tier employment classification scheme (LEHD: CNS01 + CNS02 + CNS03 + CNS04 + CNS05 + CNS06 + CNS08) , 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Svc,"Service jobs within an 8-tier employment classification scheme (LEHD: CNS12 + CNS14 + CNS19) , 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Ent,"Entertainment jobs within an 8-tier employment classification scheme (LEHD: CNS17 + CNS18), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Ed,"Education jobs within an 8-tier employment classification scheme (LEHD: CNS15), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Hlth,"Health care jobs within an 8-tier employment classification scheme (LEHD: CNS16), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E8_Pub,"Public administration jobs within an 8-tier employment classification scheme (LEHD: CNS20), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E_LowWageWk,"# of workers earning $1250/month or less (work location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E_MedWageWk,"# of workers earning more than $1250/month but less than $3333/month (work location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E_HiWageWk,"# of workers earning $3333/month or more (work location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
E_PctLowWage,"% LowWageWk of total #workers in a CBG (work location), 2017 - (Dataset includes Blockwise mean and median localized to Census Tract) ",2017 Census LEHD WAC,50 States
D1a,Gross residential density (HU/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States, PR, OT"
D1b,Gross population density (people/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States, PR, OT"
D1c,Gross employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c5_Ret,Gross retail (5-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c5_Off,Gross office (5-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c5_Ind,Gross industrial (5-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,"Derived from other SLD
 variables",50 States
D1c5_Svc,Gross service (5-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c5_Ent,Gross entertainment (5-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c8_Ret,Gross retail (8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,"Derived from other SLD
 variables",50 States
D1c8_Off,Gross office (8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c8_Ind,Gross industrial (8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c8_Svc,Gross service (8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c8_Ent,Gross entertainment (8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
